date_report,Fraser,Interior,Island,Northern,Vancouver Coastal
2021-01-01,0.0,0.0,0.0,0.0,0.0
2021-01-02,25.701860520365443,24.589675316933594,9.101332104062504,33.21389749989935,24.191511485637623
2021-01-03,45.46443629880594,9.935222350276199,10.51972152287744,39.2527879544265,26.8156754434017
2021-01-04,21.12913686950288,7.203036203950245,6.500951502901788,17.110189621160274,21.813362898913926
2021-01-05,0.0,0.0,0.0,0.0,0.0
2021-01-06,5.939284741924938,2.3596153081905973,0.11819911823457796,0.670987828280795,3.936245936646122
2021-01-07,0.0,0.0,0.0,0.0,0.0
2021-01-08,0.0,0.0,0.0,0.0,0.0
2021-01-09,12.929770323128626,33.03461431466836,8.15573915818588,31.536427929197366,9.02056360481403
2021-01-10,28.22474253463444,44.211739458729085,14.302093306383934,83.53798462095898,15.25295300450372
2021-01-11,31.693705304254316,27.57024202201645,25.767407775138,68.1052645705007,10.168635336335814
2021-01-12,5.150884112465875,9.686841791519294,8.864933867593347,21.13611659084504,5.904368904969183
2021-01-13,12.141369693669564,10.92874458530382,3.900570901741073,15.432720050458286,9.594599470574922
2021-01-14,13.297690616876189,14.281882128522037,2.2457832464569814,15.432720050458286,8.446527739053137
2021-01-15,13.66561091062375,10.680364026546915,1.7729867735186695,16.10370787873908,8.200512368012754
2021-01-16,0.0,0.0,0.0,0.0,0.0
2021-01-17,0.0,0.0,0.0,0.0,0.0
2021-01-18,28.855463038201687,31.792711520883838,7.682942685247568,55.35649583316559,23.125444877795964
2021-01-19,14.086091246335252,6.830465365814886,3.073177074099027,10.400311338352322,6.478404770730075
2021-01-20,11.14272889635475,11.54969598219608,2.8367788376298715,12.413274823194707,10.906681449456963
2021-01-21,11.98368956777775,11.42550570281763,5.909955911728899,25.49753747467021,9.34858409953454
2021-01-22,12.456729945453187,8.444938997734768,1.5365885370495136,19.79414093428345,10.660666078416579
2021-01-23,0.0,0.0,0.0,0.0,0.0
2021-01-24,0.0,0.0,0.0,0.0,0.0
2021-01-25,32.3769858497855,30.42661844772086,8.746734749358769,33.549391414039754,25.339583217159408
2021-01-26,9.040327217797252,6.582084807057981,2.4821814829261375,11.742286994913913,10.250640460015942
2021-01-27,11.668329315994127,10.307793188411557,5.318960320556009,12.07778090905431,8.118507244332626
2021-01-28,11.458089148138376,9.43846123276239,3.6641726652719173,16.439201792879476,14.104881272981935
2021-01-29,11.14272889635475,8.444938997734768,3.3095753105681833,18.787659191862257,12.300768552019129
2021-01-30,0.0,0.0,0.0,0.0,0.0
2021-01-31,0.0,0.0,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0,0.0,0.0
2021-02-02,10.985048770462939,6.209513968922624,3.427774428802761,11.406793080773515,8.61053798641339
2021-02-03,20.813776617719252,2.111234749433692,2.718579719395293,7.716360025229143,19.3532091885101
2021-02-04,0.0,0.0,0.0,0.0,0.0
2021-02-05,0.0,0.0,0.0,0.0,0.0
2021-02-06,6.412325119600376,4.098279219488932,0.23639823646915592,1.34197565656159,2.7061690814442088
2021-02-07,1.89216151070175,3.104756984461312,0.0,0.670987828280795,1.722107597282678
2021-02-08,0.0,0.0,0.0,0.0,0.0
2021-02-09,14.033531204371315,29.43309621269324,7.801141803482146,34.55587315646095,10.496655831056325
2021-02-10,0.0,0.0,0.0,0.0,0.0
2021-02-11,6.9904855812036875,11.798076540952987,6.028155029963477,28.852476616074185,3.3622100708852285
2021-02-12,4.730403776754375,12.543218217223702,10.401522404642861,13.4197565656159,3.936245936646122
2021-02-13,0.0,0.0,0.0,0.0,0.0
2021-02-14,0.0,0.0,0.0,0.0,0.0
2021-02-15,0.0,0.0,0.0,0.0,0.0
2021-02-16,44.308115375599314,11.798076540952987,7.5647435670129894,46.63365406551525,32.14600848260999
2021-02-17,11.247848980282626,4.843420895759647,2.6003806011607153,9.729323510071527,9.67660459425505
2021-02-18,17.712734141846937,2.6079958669475025,2.363982364691559,30.865440100916572,11.97274805729862
2021-02-19,14.874491875794314,7.3272264833286975,2.4821814829261375,11.071299166633118,9.184573852174283
2021-02-20,0.0,0.0,0.0,0.0,0.0
2021-02-21,0.0,0.0,0.0,0.0,0.0
2021-02-22,41.995473529186064,8.817509835870128,11.819911823457797,33.21389749989935,29.439839401165784
2021-02-23,15.032172001686126,4.719230616381195,4.491566492913963,21.47161050498544,10.496655831056325
2021-02-24,13.192570532948313,4.346659778245837,4.255168256444807,7.3808661110887455,9.184573852174283
2021-02-25,10.77480860260719,3.2289472638397645,4.373367374679384,13.755250479756297,7.052440636490967
2021-02-26,14.821931833830376,5.961133410165719,4.373367374679384,11.071299166633118,9.922619965295432
2021-02-27,0.0,0.0,0.0,0.0,0.0
2021-02-28,0.0,0.0,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,0.0,0.0
2021-03-02,10.406888308859626,7.3272264833286975,2.8367788376298715,9.058335681790732,8.61053798641339
2021-03-03,15.347532253469753,5.712752851408815,3.1913761923336055,14.090744393896696,10.98868657313709
2021-03-04,55.871324607665564,15.647975201685014,17.020673025779228,37.23982446958412,57.813612194489906
2021-03-05,76.10694076378151,22.4784405674999,7.210146212309256,18.45216527772186,35.180198058774714
2021-03-06,4.677843734790438,4.222469498867384,0.23639823646915592,2.012963484842385,5.576348410248673
2021-03-07,0.0,0.0,0.0,0.0,0.0
2021-03-08,8.672406924049689,49.055160354488734,4.964362965852275,8.05185393936954,9.430589223214666
2021-03-09,12.088809651705626,28.563764257044074,5.200761202321431,29.85895835849538,6.3963996470499485
2021-03-10,0.0,0.0,0.0,0.0,0.0
