Date,Arizona,California,Florida,Illinois,Michigan,New York,Texas,Colorado
2000-01-01,-1.0768605739399664,-0.9355448809460668,-0.9768464379080241,-1.3372025261136165,-1.605739824330292,-0.9259624106136287,-0.8493452754432778,-1.3494798120428868
2000-02-01,-1.0768605739399664,-0.9355448809460668,-0.9768464379080241,-1.3372025261136165,-1.6440392724371098,-0.9259624106136287,-0.8493452754432778,-1.3494798120428868
2000-03-01,-1.1257778996962298,-0.9355448809460668,-0.9768464379080241,-1.2862165162918089,-1.6440392724371098,-0.9919934045695695,-0.9268848272166282,-1.4033194203549042
2000-04-01,-1.1257778996962298,-0.894852634815509,-0.9768464379080241,-1.2862165162918089,-1.605739824330292,-0.9919934045695695,-1.0044243789899787,-1.4033194203549042
2000-05-01,-1.1257778996962298,-0.894852634815509,-0.9768464379080241,-1.2862165162918089,-1.5291409281166561,-0.9919934045695695,-1.08196393076333,-1.4033194203549042
2000-06-01,-1.1257778996962298,-0.894852634815509,-0.9352539225151338,-1.2862165162918089,-1.4525420319030202,-0.9919934045695695,-1.08196393076333,-1.3494798120428868
2000-07-01,-1.1257778996962298,-0.9355448809460668,-0.9352539225151338,-1.2862165162918089,-1.4142425837962025,-0.9919934045695695,-1.1595034825366803,-1.3494798120428868
2000-08-01,-1.1746952254524932,-0.9355448809460668,-0.9768464379080241,-1.2862165162918089,-1.4142425837962025,-1.0580243985255098,-1.1595034825366803,-1.3494798120428868
2000-09-01,-1.1746952254524932,-0.9762371270766245,-0.9768464379080241,-1.2862165162918089,-1.3759431356893845,-1.0580243985255098,-1.2370430343100316,-1.3494798120428868
2000-10-01,-1.1746952254524932,-1.0169293732071827,-0.9768464379080241,-1.2352305064700007,-1.3759431356893845,-1.12405539248145,-1.2370430343100316,-1.3494798120428868
2000-11-01,-1.1746952254524932,-1.0169293732071827,-0.9768464379080241,-1.184244496648193,-1.3376436875825666,-1.1900863864373907,-1.314582586083382,-1.4033194203549042
2000-12-01,-1.1746952254524932,-1.0576216193377403,-0.9768464379080241,-1.1332584868263855,-1.2610447913689307,-1.256117380393331,-1.314582586083382,-1.4033194203549042
2001-01-01,-1.1257778996962298,-1.0169293732071827,-0.9352539225151338,-1.03128646718277,-1.1844458951552947,-1.256117380393331,-1.2370430343100316,-1.3494798120428868
2001-02-01,-1.0768605739399664,-1.0169293732071827,-0.8936614071222433,-0.9803004573609618,-1.107846998941659,-1.256117380393331,-1.1595034825366803,-1.295640203730869
2001-03-01,-1.0279432481837028,-0.9762371270766245,-0.8520688917293529,-0.9293144475391542,-1.069547550834841,-1.256117380393331,-1.08196393076333,-1.2418005954188513
2001-04-01,-0.9790259224274394,-0.9355448809460668,-0.8104763763364625,-0.8783284377173466,-1.0312481027280234,-1.256117380393331,-0.9268848272166282,-1.1879609871068337
2001-05-01,-0.9301085966711756,-0.894852634815509,-0.7688838609435719,-0.8783284377173466,-1.0312481027280234,-1.12405539248145,-0.8493452754432778,-1.0802817704827985
2001-06-01,-0.832273945158649,-0.8541603886849509,-0.7272913455506815,-0.8783284377173466,-0.9929486546212052,-1.0580243985255098,-0.694266171896576,-0.9726025538587633
2001-07-01,-0.734439293646122,-0.7727758964238352,-0.6856988301577909,-0.8273424278955385,-0.9546492065143873,-0.9259624106136287,-0.5391870683498744,-0.8110837289227104
2001-08-01,-0.636604642133595,-0.6913914041627196,-0.6441063147649005,-0.7763564180737309,-0.8780503103007514,-0.7278694287458073,-0.38410796480317266,-0.6495649039866577
2001-09-01,-0.538769990621068,-0.6100069119016038,-0.5609212839791196,-0.6743843984301152,-0.7631519659802978,-0.529776446877986,-0.229028861256471,-0.4880460790506044
2001-10-01,-0.440935339108541,-0.528622419640488,-0.10340361465732478,-0.5724123787864995,-0.6482536216598441,-0.3977144589661049,-0.07394975770977003,-0.3265272541145516
2001-11-01,-0.34310068759601436,-0.4472379273793722,-0.06181109926443411,-0.4194543493210762,-0.5333552773393905,-0.19962147709828357,0.08112934583693165,-0.16500842917849878
2001-12-01,-0.29418336183975063,-0.36585343511825635,-0.020218583871543804,-0.31748232967746054,-0.45675638112575456,-0.06755948918640246,0.23620844938363333,-0.05732921255446341
2002-01-01,-0.19634871032722362,-0.3251611889876986,-0.020218583871543804,-0.2664963198556529,-0.41845693301893644,-0.0015284952304622152,0.3137480011569838,-0.0034896042424459733
2002-02-01,-0.14743138457096033,-0.28446894285714086,-0.06181109926443411,-0.21551031003384485,-0.41845693301893644,0.06450249872547863,0.391287552930335,0.05035000406957194
2002-03-01,-0.14743138457096033,-0.28446894285714086,-0.06181109926443411,-0.16452430021203726,-0.41845693301893644,0.13053349268141887,0.4688271047036855,0.10418961238158939
2002-04-01,-0.09851405881469702,-0.28446894285714086,-0.10340361465732478,-0.11353829039022964,-0.41845693301893644,0.13053349268141887,0.4688271047036855,0.10418961238158939
2002-05-01,-0.09851405881469702,-0.28446894285714086,-0.14499613005021508,-0.11353829039022964,-0.45675638112575456,0.06450249872547863,0.4688271047036855,0.10418961238158939
2002-06-01,-0.0495967330584333,-0.28446894285714086,-0.18658864544310577,-0.11353829039022964,-0.45675638112575456,-0.0015284952304622152,0.5463666564770366,0.10418961238158939
2002-07-01,-0.0495967330584333,-0.28446894285714086,-0.18658864544310577,-0.11353829039022964,-0.49505582923257235,-0.0015284952304622152,0.5463666564770366,0.10418961238158939
2002-08-01,-0.0495967330584333,-0.24377669672658275,-0.22818116083599607,-0.11353829039022964,-0.5333552773393905,-0.06755948918640246,0.5463666564770366,0.10418961238158939
2002-09-01,-0.0495967330584333,-0.24377669672658275,-0.22818116083599607,-0.16452430021203726,-0.5333552773393905,-0.06755948918640246,0.5463666564770366,0.15802922069360684
2002-10-01,-0.09851405881469702,-0.24377669672658275,-0.26977367622888637,-0.16452430021203726,-0.5333552773393905,-0.0015284952304622152,0.6239062082503872,0.15802922069360684
2002-11-01,-0.09851405881469702,-0.20308445059602503,-0.26977367622888637,-0.11353829039022964,-0.49505582923257235,-0.0015284952304622152,0.6239062082503872,0.21186882900562473
2002-12-01,-0.09851405881469702,-0.20308445059602503,-0.26977367622888637,-0.11353829039022964,-0.41845693301893644,0.06450249872547863,0.7014457600237377,0.21186882900562473
2003-01-01,-0.14743138457096033,-0.20308445059602503,-0.26977367622888637,-0.11353829039022964,-0.3418580368053009,0.13053349268141887,0.7014457600237377,0.2657084373176422
2003-02-01,-0.19634871032722362,-0.20308445059602503,-0.26977367622888637,-0.11353829039022964,-0.22695969248484688,0.13053349268141887,0.7789853117970889,0.3195480456296601
2003-03-01,-0.19634871032722362,-0.20308445059602503,-0.31136619162177703,-0.06255228056842156,-0.15036079627121132,0.13053349268141887,0.8565248635704393,0.37338765394167756
2003-04-01,-0.19634871032722362,-0.16239220446546693,-0.26977367622888637,-0.06255228056842156,-0.11206134816439321,0.13053349268141887,0.8565248635704393,0.37338765394167756
2003-05-01,-0.19634871032722362,-0.16239220446546693,-0.26977367622888637,-0.011566270746613953,-0.03546245195075731,0.1965644866373597,0.9340644153437905,0.37338765394167756
2003-06-01,-0.24526603608348735,-0.16239220446546693,-0.26977367622888637,0.03941973907519412,0.0028369961560604628,0.1965644866373597,0.9340644153437905,0.427227262253695
